asset,direction,signal_time,entry_time,exit_time,entry_binance,entry_okx,exit_binance,exit_okx,entry_z,entry_spread_bps,exit_reason,holding_hours,pnl_before_exit_cost,entry_cost,exit_cost,funding_buffer_cost,forced_cost,equity_after,component
SOL,1,2022-11-09 00:00:00+00:00,2022-11-09 01:00:00+00:00,2022-11-09 05:00:00+00:00,22.58,22.83,20.85,21.14,23.747504304252942,105.68130061792249,max_hold,4,-6.6538201676226265,4.110415431286244,4.10610973704668,5.135964081392161,0.0,10256.032268798259,basis_l336_z5_s60_h4_c1
SOL,1,2022-11-09 05:00:00+00:00,2022-11-09 06:00:00+00:00,2022-11-09 10:00:00+00:00,19.29,19.65,15.07,15.35,42.29502595423005,185.0001374392021,max_hold,4,0.16227891453286247,4.102412907519303,4.100836853922109,5.12596492794537,0.0,10242.865333023405,basis_l336_z5_s60_h4_c1
SOL,1,2022-11-09 10:00:00+00:00,2022-11-09 11:00:00+00:00,2022-11-09 18:00:00+00:00,15.49,15.89,11.513,11.79,58.869719823824944,261.4111238704353,missing_price,7,3.2703303494809006,4.097146133209362,4.09681540689587,5.119384093445097,5.121019258619838,10227.701298480713,basis_l336_z5_s60_h4_c1
ETH,1,2022-11-10 09:00:00+00:00,2022-11-10 10:00:00+00:00,2022-11-10 11:00:00+00:00,1197.62,1212.74,1180.35,1180.93,88.89092941221753,125.46008336024187,convergence,1,30.184168389763144,4.0910805193922855,4.101517754540434,5.11180510898066,0.0,10244.581063487565,basis_l336_z5_s60_h4_c1
DOGE,1,2022-12-18 09:00:00+00:00,2022-12-18 10:00:00+00:00,2022-12-18 14:00:00+00:00,0.07777,0.07906,0.07785,0.07906,59.03244182580674,163.2272914093818,max_hold,4,2.6335304696056965,4.097832425395026,4.097246704612711,5.120241615531085,0.0,10233.899273211633,basis_l336_z5_s60_h4_c1
DOGE,1,2022-12-18 14:00:00+00:00,2022-12-18 15:00:00+00:00,2022-12-18 19:00:00+00:00,0.07775,0.07906,0.07838,0.07843,59.806878499638096,167.08506809196024,max_hold,4,41.10214535985206,4.093559709284653,4.10836314354488,5.114902856751174,0.0,10261.684592861904,basis_l336_z5_s60_h4_c1
SOL,1,2023-01-04 15:00:00+00:00,2023-01-04 16:00:00+00:00,2023-01-04 17:00:00+00:00,13.352,13.455,13.413,13.424,12.795071068110534,76.84597819335204,convergence,1,17.624010089724184,4.1046738371447615,4.110081571645794,5.12878995951238,0.0,10265.965057583328,basis_l336_z5_s60_h4_c1
DOGE,-1,2024-03-05 19:00:00+00:00,2024-03-05 20:00:00+00:00,2024-03-06 00:00:00+00:00,0.13834,0.13676,0.15306,0.1531,-31.454588735823066,-110.49836186584935,max_hold,4,33.54311525121261,4.106386023033331,4.118160714724603,5.130929335780147,0.0,10286.152696761,basis_l336_z5_s60_h4_c1
DOGE,-1,2025-10-10 21:00:00+00:00,2025-10-10 22:00:00+00:00,2025-10-11 02:00:00+00:00,0.18603,0.18249,0.18906,0.18933,-167.060300470687,-191.59857732726914,max_hold,4,54.47889197370175,4.114461078704401,4.134606851062399,5.1410191178411475,0.0,10327.241501687093,basis_l336_z5_s60_h4_c1
DOGE,1,2021-01-28 15:00:00+00:00,2021-01-28 16:00:00+00:00,2021-01-28 18:00:00+00:00,0.018092,0.018325,0.018938,0.018951,12.799119757683208,145.11330331188702,max_hold,2,31.487442663072287,4.0,4.010994977065229,4.998,0.0,10018.478447686008,basis_l168_z3_s60_h2_c1
