policy,lookback_hours,entry_abs_z,entry_abs_spread_bps,max_hold_hours,stability_bars,eligible_before_final,all_prefinal_years_positive,score,prefinal_total_return,prefinal_cagr,prefinal_max_drawdown,prefinal_sharpe,prefinal_annual_turnover,prefinal_average_gross,prefinal_max_gross,prefinal_costs,prefinal_trade_count,prefinal_liquidations,prefinal_min_margin_buffer,prefinal_observations_per_year
basis_l672_z5_s30_h1_c1,672,5.0,30.0,1,1,False,False,-0.061089409183004546,-0.016856181450682017,-0.003394671052694309,-0.026501047659763133,-0.6355506092477711,8.401169249024486,0.000547645125958379,0.5,543.2522547606409,42,0,0.5,8765.82
basis_l168_z3_s45_h1_c2,168,3.0,45.0,1,2,False,False,-0.06182437584455753,-0.012930410579057194,-0.002599923856056785,-0.020056189624142906,-0.686481410932098,4.600640303037218,0.00026241328952172324,0.5,298.55790830403714,23,0,0.5,8765.82
basis_l336_z4_s30_h2_c2,336,4.0,30.0,2,2,False,False,-0.06341209166036836,-0.015279388666727733,-0.003075154917474676,-0.017788618990607352,-0.6982212376723671,5.400751660087169,0.0006731471339905075,0.5,354.18201545979076,27,0,0.5,8765.82
basis_l336_z5_s45_h1_c2,336,5.0,45.0,1,2,False,False,-0.06717025999457696,-0.01222442689539871,-0.002457270325668448,-0.01659375810061925,-0.7631666933277715,4.0005567852497546,0.00022818546914932458,0.5,259.3605630514503,20,0,0.5,8765.82
basis_l168_z3_s60_h1_c2,168,3.0,60.0,1,2,False,False,-0.07018257339081925,-0.012984641308579903,-0.0026108852821387085,-0.01576726854580457,-0.8024338837592212,3.600501106724779,0.0002053669222343921,0.5,233.30580243880252,18,0,0.5,8765.82
basis_l336_z3_s60_h1_c2,336,3.0,60.0,1,2,False,False,-0.07018257339081925,-0.012984641308579903,-0.0026108852821387085,-0.01576726854580457,-0.8024338837592212,3.600501106724779,0.0002053669222343921,0.5,233.30580243880252,18,0,0.5,8765.82
basis_l336_z4_s60_h1_c2,336,4.0,60.0,1,2,False,False,-0.07018257339081925,-0.012984641308579903,-0.0026108852821387085,-0.01576726854580457,-0.8024338837592212,3.600501106724779,0.0002053669222343921,0.5,233.30580243880252,18,0,0.5,8765.82
basis_l336_z5_s30_h1_c1,336,5.0,30.0,1,1,False,False,-0.0726753209434115,-0.024640714606483205,-0.004978137971488716,-0.035071596222150725,-0.709862416212446,14.802060105424093,0.0009127418765972983,0.5,958.3901751279208,74,0,0.5,8765.82
basis_l168_z3_s30_h2_c2,168,3.0,30.0,2,2,False,False,-0.07310943013302977,-0.021335732650681116,-0.004304634692364195,-0.025619082368078416,-0.7817796522187713,7.401030052712047,0.0008785140562248996,0.5,481.9172209320574,37,0,0.5,8765.82
basis_l672_z3_s30_h2_c1,672,3.0,30.0,2,1,False,False,-0.07404193502266247,-0.021883814728546946,-0.004416199213114758,-0.0279151911628579,-0.7779197048778087,9.201280606074436,0.001038243884629427,0.5,592.2984369997971,46,0,0.5,8765.82
basis_l672_z4_s30_h1_c1,672,4.0,30.0,1,1,False,False,-0.07405123549148926,-0.02088153536313553,-0.004212218700446413,-0.02975692151851539,-0.7770333802065357,9.401308445336923,0.0006046914932457101,0.5,606.5006031226151,47,0,0.5,8765.82
