policy,family,flow_threshold,pressure_threshold,volume_threshold,max_impact_bps,depth_threshold,persistence,hold_minutes,eligible_development,preliminary_gate,btc_development_return,eth_development_return,score,development_total_return,development_cagr,development_max_drawdown,development_sharpe,development_annual_turnover,development_average_gross,development_max_gross,development_costs,development_trade_count,development_unexplained_events
agreement_continuation_f1.5_p1_v0_i0_d0_n1_h12,agreement_continuation,1.5,1.0,0.0,0.0,0.0,1,12,False,False,,,-2.3811973589803808,-0.9000238858111085,-0.7851128233650608,-0.9000369622499116,-23.747826597234017,3186.8950952862783,0.03635592671634003,0.2,9566.649603417807,11932,0
agreement_continuation_f1.5_p1.5_v0_i0_d0_n1_h1,agreement_continuation,1.5,1.5,0.0,0.0,0.0,1,1,False,False,,,-2.390213487895262,-0.8322315254726057,-0.6963848605918896,-0.8322315254726057,-27.209549560935848,2501.2799670931936,0.0023778722042862637,0.2,8752.109939770253,9365,0
reversed_agreement_control_f1.5_p1.5_v0_i0_d0_n1_h1,reversed_agreement_control,1.5,1.5,0.0,0.0,0.0,1,1,False,False,,,-2.4056603062398145,-0.8593702712711783,-0.7301304563754445,-0.8593702712711783,-26.789296520558654,2501.2799670931936,0.0023778722042862637,0.2,8189.952454558166,9365,0
agreement_continuation_f2_p1_v0_i0_d0_n1_h1,agreement_continuation,2.0,1.0,0.0,0.0,0.0,1,1,False,False,,,-2.441283978210097,-0.8282502918503499,-0.6915927425889067,-0.8282502918503499,-28.35185783232571,2492.733148198695,0.0023697470670158783,0.2,8896.545624429036,9333,0
reversed_agreement_control_f2_p1_v0_i0_d0_n1_h1,reversed_agreement_control,2.0,1.0,0.0,0.0,0.0,1,1,False,False,,,-2.4600106664445556,-0.8608642789850878,-0.7320482134899189,-0.8608708346036704,-27.85204109348801,2492.733148198695,0.0023697470670158783,0.2,8040.308180592552,9333,0
flow_exhaustion_reversal_f2_p0_v1_i6_d0_n1_h3,flow_exhaustion_reversal,2.0,0.0,1.0,6.0,0.0,1,3,False,False,,,-2.5047658219653415,-0.928311361234244,-0.8279078587907454,-0.928311361234244,-25.071708830852156,3304.413855085637,0.009424143591488411,0.2,8796.185481725133,12372,0
flow_exhaustion_reversal_f2_p0_v1_i6_d0_n1_h1,flow_exhaustion_reversal,2.0,0.0,1.0,6.0,0.0,1,1,False,False,,,-2.519586291211289,-0.9398059167153637,-0.846861852001898,-0.9398066096056646,-24.44949948786894,3562.6880385537766,0.0033869126890522664,0.2,8934.25934978426,13339,0
absorption_reversal_f1.5_p0.5_v0_i6_d0_n1_h3,absorption_reversal,1.5,0.5,0.0,6.0,0.0,1,3,False,False,,,-2.5434049235459315,-0.8661693436074067,-0.7389140430153278,-0.8661693436074067,-29.312719070919282,2522.379926238988,0.007193793410767585,0.2,8191.625075038807,9444,0
flow_exhaustion_reversal_f1.5_p0_v1_i6_d0_n1_h12,flow_exhaustion_reversal,1.5,0.0,1.0,6.0,0.0,1,12,False,False,,,-2.6079195757981157,-0.9362182727275831,-0.8408262209613878,-0.9362414479690921,-26.443364893337364,3513.0096537295017,0.0400762239440178,0.2,8940.659640793601,13153,0
absorption_reversal_f1.5_p0.5_v0_i6_d0_n1_h1,absorption_reversal,1.5,0.5,0.0,6.0,0.0,1,1,False,False,,,-2.6466565939294195,-0.8762601041817022,-0.752229040639815,-0.8762615285438482,-30.838068646476884,2648.979681113753,0.002518284732740114,0.2,8322.890103200763,9918,0
