,equity,gross,turnover,min_margin_buffer,liquidated_notional,trading_costs,roll_costs,liquidation_penalty
2021-06-13 00:00:00+00:00,20717.926961227146,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-14 00:00:00+00:00,20740.210704299807,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-15 00:00:00+00:00,20695.30216256568,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-16 00:00:00+00:00,20563.04748313296,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-17 00:00:00+00:00,20569.56896304175,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-18 00:00:00+00:00,20470.418463377988,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-19 00:00:00+00:00,20392.31111198873,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-20 00:00:00+00:00,20448.9599445478,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-21 00:00:00+00:00,20000.603170397542,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-22 00:00:00+00:00,19950.88649157789,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-23 00:00:00+00:00,20024.08109741108,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-24 00:00:00+00:00,20050.03921938228,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-25 00:00:00+00:00,19994.985307532104,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-26 00:00:00+00:00,19984.03390671034,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-27 00:00:00+00:00,20036.734211342104,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-28 00:00:00+00:00,20101.143115446284,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-29 00:00:00+00:00,20118.72422321012,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-30 00:00:00+00:00,20208.209072395766,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-01 00:00:00+00:00,20099.37019357573,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-02 00:00:00+00:00,20189.2289962754,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-03 00:00:00+00:00,20211.32595289893,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-04 00:00:00+00:00,20302.96659334796,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-05 00:00:00+00:00,20221.73386595554,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-06 00:00:00+00:00,20286.232163353303,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-07 00:00:00+00:00,20276.43701978169,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-08 00:00:00+00:00,20132.50437828249,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-09 00:00:00+00:00,20134.230923629435,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-10 00:00:00+00:00,20113.182487165024,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-11 00:00:00+00:00,20111.60913060945,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-12 00:00:00+00:00,20066.84885197626,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-13 00:00:00+00:00,19995.5445293784,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-14 00:00:00+00:00,20023.34704799837,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-15 00:00:00+00:00,19990.39577312942,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-16 00:00:00+00:00,19947.837459430924,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-17 00:00:00+00:00,19956.945926124976,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-18 00:00:00+00:00,19949.605477256195,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-19 00:00:00+00:00,19900.75361979668,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-20 00:00:00+00:00,19912.341605249258,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-21 00:00:00+00:00,19955.63630375732,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-22 00:00:00+00:00,19964.28787732197,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-23 00:00:00+00:00,19973.34997582085,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-24 00:00:00+00:00,19983.842348739752,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-25 00:00:00+00:00,19952.136773993807,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-26 00:00:00+00:00,19918.32474791827,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-27 00:00:00+00:00,19892.65610039559,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-28 00:00:00+00:00,19879.086730174244,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-29 00:00:00+00:00,19924.11622087919,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-30 00:00:00+00:00,19992.998034305827,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-31 00:00:00+00:00,20034.2069873428,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-08-01 00:00:00+00:00,20036.2803733728,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-08-02 00:00:00+00:00,20061.347714706662,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-08-03 00:00:00+00:00,19991.446372348768,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-08-04 00:00:00+00:00,20090.56570041964,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-08-05 00:00:00+00:00,20145.714695164672,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-08-06 00:00:00+00:00,20161.790965542736,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-08-07 00:00:00+00:00,20355.905968178224,0.0,0.0,1.0,0.0,0.0,0.0,0.0
