candidate,eligible_selection,score,check_development_positive,check_validation_a_positive,check_validation_b_positive,check_selection_cagr_min,check_selection_sharpe_min,check_selection_max_drawdown_min,check_selection_turnover_max,check_worst_severe_period_min,selection_cagr,selection_sharpe,selection_dd,selection_turnover
tsmom__vol10__cap125__r10__b05,False,-0.03628633191265942,True,True,False,False,False,False,False,False,0.0036976092973994845,0.047515534230795214,-0.2288171121256375,12.0216543177989
tsmom+ma+breakout+crisis__vol08__cap075__r20__b10,False,-0.036418838745840176,True,False,True,False,False,True,False,False,0.0035943741608381874,0.06577939342351947,-0.17642868174449855,19.914782081968454
tsmom+crisis__vol12__cap100__r5__b10,False,-0.03703528110971286,True,False,False,False,False,False,False,False,0.0064953858567600165,0.08420462796748004,-0.2318431532330818,18.852983660881556
crisis__vol12__cap125__r5__b05,False,-0.037112460506424284,True,False,False,False,False,True,True,False,0.0007013680126948252,0.0086811181769751,-0.20974982215066829,6.7365230598625185
crisis__vol12__cap075__r20__b10,False,-0.037613076777250704,True,True,False,False,False,True,True,False,-0.001356030404586983,-0.023722915760246547,-0.1929729972067995,2.5695770195507492
tsmom+ma+crisis__vol10__cap075__r20__b10,False,-0.037749127683455966,True,False,True,False,False,True,False,False,0.0030672795627495475,0.05273302596879081,-0.18803391701270522,18.680249641270038
tsmom+ma+crisis__vol10__cap075__r20__b05,False,-0.038064583519171,True,False,True,False,False,True,False,False,0.002949626583362841,0.050687846375725466,-0.18731908788586416,18.8023139992754
crisis__vol12__cap075__r20__b05,False,-0.038074219068629955,True,True,False,False,False,True,True,False,-0.0015527272107037637,-0.027207430779038207,-0.1930702947547316,2.604246467236736
tsmom+ma+breakout+relative+crisis__vol12__cap125__r20__b10,False,-0.03840465008419506,True,False,True,False,False,False,False,False,0.013949361820378092,0.16111250379444852,-0.2735919284897549,26.94216737296232
tsmom+ma+breakout+relative+crisis__vol12__cap125__r20__b05,False,-0.03859592517745758,True,False,True,False,False,False,False,False,0.013959054395392245,0.16124382800326276,-0.27431192286705697,26.973546103988593
tsmom+breakout__vol12__cap100__r5__b05,False,-0.03878948954044352,True,False,False,False,False,True,False,False,0.00418391255304984,0.058257744724036296,-0.20863650771714304,17.815123134324743
tsmom+breakout__vol12__cap100__r5__b10,False,-0.039006666864147305,True,False,False,False,False,True,False,False,0.004112851865284428,0.057264429682845605,-0.2097489976058764,17.770667853424207
tsmom+crisis__vol12__cap100__r5__b05,False,-0.03902556063935862,True,False,False,False,False,False,False,False,0.005885412049057681,0.07634595431377283,-0.23425773589525978,19.07993782804398
tsmom+ma+crisis__vol08__cap100__r20__b10,False,-0.03925785327050642,True,False,True,False,False,True,False,False,0.006394889763062128,0.09861395760301354,-0.2062664599758448,23.951418709393703
crisis__vol12__cap125__r5__b10,False,-0.03926695623436305,True,False,False,False,False,True,True,False,0.0001928565847022501,0.0023855276780254024,-0.21651818297771608,6.669069974380326
tsmom__vol12__cap125__r10__b10,False,-0.03931831022503747,True,True,False,False,False,False,False,False,0.003104982870326234,0.03710230744817259,-0.23962593541803034,12.180211675640246
tsmom__vol12__cap125__r10__b05,False,-0.03946398007799595,True,True,False,False,False,False,False,False,0.0031139730504829988,0.03720784636582168,-0.2410002139066112,12.228837272080673
tsmom+ma+breakout+crisis__vol10__cap075__r20__b05,False,-0.039826058389544186,True,False,True,False,False,True,False,False,0.003041227071520103,0.05226010435912552,-0.18922627012865134,20.15050719226691
tsmom+ma+crisis__vol08__cap100__r20__b05,False,-0.0398790391028522,True,False,True,False,False,True,False,False,0.006254893806911799,0.09644375763491699,-0.20830645565227734,24.013042345591217
tsmom+ma+breakout+crisis__vol10__cap075__r20__b10,False,-0.04010872511558869,True,False,True,False,False,True,False,False,0.0029054700261690325,0.04992537512544741,-0.189265740797942,20.10699576678897
ma__vol08__cap075__r5__b10,False,-0.04013797536246509,True,False,True,False,False,True,True,False,0.001026926335416345,0.01959367503611533,-0.20793975274595056,11.93663414158044
tsmom+breakout__vol08__cap125__r10__b05,False,-0.040359294963680535,True,True,False,False,False,False,False,False,0.0030629933260997166,0.04341867587660377,-0.22526536317467805,13.584342965222042
tsmom+breakout__vol08__cap125__r10__b10,False,-0.040395411511262164,True,True,False,False,False,False,False,False,0.0030645903768022897,0.04344172969641616,-0.22551415015315746,13.579531920334725
ma__vol10__cap075__r5__b10,False,-0.04073255159652616,True,False,True,False,False,True,False,False,0.0011806222328685223,0.021199171237312145,-0.21418206061563583,12.064269024827377
tsmom+crisis__vol12__cap125__r10__b10,False,-0.041076884098727874,True,True,False,False,False,False,False,False,0.006936068960063935,0.07749557286084448,-0.23772893280153706,17.313428212607054
tsmom+crisis__vol12__cap125__r10__b05,False,-0.04125474400159651,True,True,False,False,False,False,False,False,0.006905963759701317,0.07715974331480638,-0.23802281126950042,17.3775076444668
ma__vol12__cap075__r5__b10,False,-0.04143129799740071,True,False,True,False,False,False,False,False,0.0012609184830152387,0.02159986514807676,-0.2202469114212483,12.147585092035902
crisis__vol12__cap100__r20__b05,False,-0.0414656334346357,True,True,False,False,False,True,True,False,-0.0017689578111910187,-0.025943146777773297,-0.20475476255577119,3.4257963143148653
ma__vol08__cap075__r5__b05,False,-0.041547616747397084,True,False,True,False,False,True,False,False,0.0006986006561497948,0.013344226568418223,-0.20918973577991085,12.148321157100508
tsmom+ma+crisis__vol08__cap075__r10__b10,False,-0.04158964487288378,True,False,True,False,False,True,False,False,0.0019770032747166155,0.036036278642262935,-0.18631418439586866,19.903085878321257
ma__vol10__cap075__r5__b05,False,-0.04198595649855465,True,False,True,False,False,True,False,False,0.0009060383455283816,0.01628486257578991,-0.21542219240538285,12.281454683169764
tsmom+ma+crisis__vol12__cap075__r20__b10,False,-0.042409299788498944,True,False,True,False,False,True,False,False,0.002249274819434488,0.03691174285307672,-0.20858858907939637,18.790153705737442
